pair,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2
"('DISCK', 'DISCA')",False,False,False,False,False
"('AGN', 'ALGN')",False,False,False,False,False
"('UA', 'UAA')",False,False,True,False,False
"('R', 'RIBT')",False,False,False,False,False
"('LGF-A', 'LGF-B')",True,False,False,False,False
"('PMT', 'PFSI')",False,False,False,False,False
"('CUK', 'CCL')",False,False,False,False,False
"('CTI', 'CTIC')",False,False,False,False,False
"('DKL', 'DK')",True,False,False,False,False
"('BME', 'BLW')",False,False,False,False,False
"('BME', 'BDJ')",False,False,False,False,False
"('BME', 'BGT')",False,False,False,False,False
"('BME', 'BGR')",False,False,False,False,False
"('BME', 'BGY')",False,False,False,False,False
"('BME', 'HYT')",False,False,False,False,False
"('BME', 'BTZ')",False,False,True,False,False
"('AFB', 'AWF')",False,False,False,False,False
"('BDJ', 'BGY')",False,False,False,False,False
"('BDJ', 'BTZ')",False,False,False,False,False
"('BDJ', 'BLW')",False,False,False,False,True
"('BDJ', 'HYT')",False,False,False,False,False
"('BDJ', 'BGT')",False,False,False,False,False
"('BDJ', 'BGR')",False,True,False,False,False
"('PSTG', 'MATR')",False,False,False,False,False
"('BGT', 'BGY')",False,False,False,False,False
"('BGT', 'BTZ')",False,False,False,False,False
"('BGT', 'BLW')",False,False,False,False,False
"('BGT', 'HYT')",False,False,False,False,False
"('BGT', 'BGR')",False,False,False,False,False
"('BTZ', 'BGR')",False,False,False,False,False
"('BTZ', 'BGY')",True,False,True,False,False
"('BTZ', 'BLW')",False,False,True,True,True
"('BTZ', 'HYT')",False,False,False,True,False
"('BGY', 'BLW')",False,False,True,False,True
"('BGY', 'HYT')",False,False,False,False,False
"('BGY', 'BGR')",False,False,False,False,False
"('BLW', 'HYT')",False,False,True,True,False
"('BLW', 'BGR')",False,False,False,False,False
"('HYT', 'BGR')",False,False,False,False,False
"('IAE', 'IID')",False,False,False,True,False
"('MMT', 'MCR')",True,True,False,True,True
"('AFB', 'AB')",False,False,False,False,False
"('AB', 'AWF')",False,False,False,True,False
"('IHD', 'IAE')",False,False,True,False,False
"('IHD', 'IID')",False,False,False,False,False
"('MNR', 'UMH')",False,False,False,False,False
"('KRO', 'NL')",False,False,False,False,False
"('IID', 'IGD')",False,False,False,False,False
"('IAE', 'IGD')",False,False,False,False,False
"('LAQ', 'IF')",False,True,False,False,DISSOLVED
"('MMT', 'CIF')",False,True,False,True,False
"('MMT', 'MGF')",False,True,False,False,False
"('MMT', 'CXE')",False,True,False,False,False
"('MMT', 'MFV')",False,True,False,False,False
"('MMT', 'MIN')",False,True,False,False,False
"('MMT', 'CMU')",False,True,False,False,False
"('MMT', 'MFM')",False,True,False,False,False
"('MMT', 'CXH')",False,False,False,False,True
"('ALX', 'VNO')",False,False,False,False,True
"('VHI', 'CIX')",False,False,False,False,False
"('CMU', 'MIN')",False,False,False,True,False
"('CMU', 'CIF')",False,False,False,True,False
"('CMU', 'MCR')",False,False,False,True,False
"('CMU', 'MFM')",False,False,False,False,False
"('CMU', 'MGF')",False,False,False,False,False
"('CMU', 'CXH')",False,False,False,True,False
"('CMU', 'CXE')",False,False,False,False,False
"('CMU', 'MFV')",True,False,False,False,False
"('MGF', 'CIF')",False,True,False,False,False
"('MGF', 'CXE')",False,True,False,False,False
"('MGF', 'MFV')",False,True,False,False,True
"('MGF', 'MIN')",False,True,False,False,True
"('MGF', 'MCR')",False,True,False,False,False
"('MGF', 'MFM')",False,True,False,False,False
"('MGF', 'CXH')",False,False,False,False,True
"('IHD', 'IGD')",False,False,False,False,False
"('MIN', 'CXE')",False,False,False,False,False
"('MIN', 'MFV')",False,False,False,False,False
"('MIN', 'MFM')",True,False,False,False,False
"('MIN', 'CIF')",False,False,False,False,False
"('MIN', 'MCR')",False,False,False,True,False
"('MIN', 'CXH')",False,False,False,False,False
"('VCV', 'VKI')",True,False,False,False,True
"('VCV', 'VVR')",False,False,False,False,False
"('VCV', 'VTA')",False,False,False,False,False
"('CXH', 'CIF')",False,False,False,False,False
"('CXH', 'MCR')",False,False,False,False,False
