Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,221.74,223.72,218.16,219.44,1332559.0,0.0,1.0,221.74,223.72,218.16,219.44,1332559.0
2018-03-26,217.58,221.34,217.58,221.08,1586409.0,0.0,1.0,217.58,221.34,217.58,221.08,1586409.0
2018-03-23,219.15,220.74,215.52,215.63,1455873.0,0.0,1.0,219.15,220.74,215.52,215.63,1455873.0
2018-03-22,224.78,225.61,218.31,218.85,1534784.0,0.0,1.0,224.78,225.61,218.31,218.85,1534784.0
2018-03-21,229.65,229.65,225.98,225.99,1301490.0,0.0,1.0,229.65,229.65,225.98,225.99,1301490.0
2018-03-20,228.45,230.91,227.85,229.98,1310149.0,0.0,1.0,228.45,230.91,227.85,229.98,1310149.0
2018-03-19,228.18,229.15,226.19,227.99,997474.0,0.0,1.0,228.18,229.15,226.19,227.99,997474.0
2018-03-16,230.79,230.92,228.0,228.11,1781528.0,0.0,1.0,230.79,230.92,228.0,228.11,1781528.0
2018-03-15,229.39,231.365,228.38,230.0,1329676.0,0.0,1.0,229.39,231.365,228.38,230.0,1329676.0
2018-03-14,230.55,230.98,228.11,229.03,1653495.0,0.0,1.0,230.55,230.98,228.11,229.03,1653495.0
2018-03-13,230.95,231.89,227.27,230.22,1777942.0,0.0,1.0,230.95,231.89,227.27,230.22,1777942.0
2018-03-12,232.2,232.73,229.25,229.86,1949840.0,0.0,1.0,232.2,232.73,229.25,229.86,1949840.0
2018-03-09,230.44,233.29,228.2,232.8,1825377.0,0.0,1.0,230.44,233.29,228.2,232.8,1825377.0
2018-03-08,231.99,232.135,227.36,228.79,1973118.0,0.0,1.0,231.99,232.135,227.36,228.79,1973118.0
2018-03-07,230.64,232.16,229.99,231.86,972972.0,0.0,1.0,229.886405855,231.40143940099998,229.23852966799998,231.102419622,972972.0
2018-03-06,232.31,233.39,230.05,232.75,991571.0,0.0,1.0,231.55094929,232.627420493,229.298333624,231.98951163200002,991571.0
2018-03-05,231.83,232.91,228.44,232.04,1244494.0,0.0,1.0,231.07251764400002,232.148988847,227.693594145,231.281831489,1244494.0
2018-03-02,230.88,233.77,229.31,233.08,989788.0,0.0,1.0,230.125621678,233.006178879,228.560751503,232.318433389,989788.0
2018-03-01,234.65,236.645,229.3,232.04,1498414.0,0.0,1.0,233.88330356400002,235.871785092,228.550784177,231.281831489,1498414.0
2018-02-28,237.47,239.69,235.34,235.38,1282090.0,0.0,1.0,237.47,239.69,235.34,235.38,1282090.0
