Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,197.0,199.83,194.255,198.1,920853.0,0.0,1.0,197.0,199.83,194.255,198.1,920853.0
2018-03-26,194.28,196.94,193.52,196.61,699966.0,0.0,1.0,194.28,196.94,193.52,196.61,699966.0
2018-03-23,195.71,197.29,192.66,193.05,802031.0,0.0,1.0,195.71,197.29,192.66,193.05,802031.0
2018-03-22,198.32,199.9,195.61,195.69,1045931.0,0.0,1.0,198.32,199.9,195.61,195.69,1045931.0
2018-03-21,198.25,199.6,196.15,198.52,1108332.0,0.0,1.0,198.25,199.6,196.15,198.52,1108332.0
2018-03-20,196.9,198.65,196.52,198.03,880970.0,0.0,1.0,196.9,198.65,196.52,198.03,880970.0
2018-03-19,198.04,198.08,195.55,196.72,838343.0,0.0,1.0,198.04,198.08,195.55,196.72,838343.0
2018-03-16,195.52,198.2,195.27,198.01,1101146.0,0.0,1.0,195.52,198.2,195.27,198.01,1101146.0
2018-03-15,194.78,195.37,193.715,195.17,675914.0,0.0,1.0,194.78,195.37,193.715,195.17,675914.0
2018-03-14,197.88,198.48,193.0,194.61,1903349.0,0.0,1.0,197.88,198.48,193.0,194.61,1903349.0
2018-03-13,198.0,199.0,196.76,197.4,1019958.0,0.0,1.0,198.0,199.0,196.76,197.4,1019958.0
2018-03-12,199.96,200.41,198.56,199.41,996667.0,0.0,1.0,199.96,200.41,198.56,199.41,996667.0
2018-03-09,200.08,200.4,197.67,199.96,882878.0,0.0,1.0,200.08,200.4,197.67,199.96,882878.0
2018-03-08,198.14,200.49,197.13,199.81,749804.0,0.0,1.0,198.14,200.49,197.13,199.81,749804.0
2018-03-07,197.33,198.91,196.4,198.01,583960.0,0.0,1.0,197.33,198.91,196.4,198.01,583960.0
2018-03-06,196.8,199.08,195.415,198.16,711877.0,0.0,1.0,196.8,199.08,195.415,198.16,711877.0
2018-03-05,195.09,199.0,195.09,197.35,1146861.0,0.0,1.0,195.09,199.0,195.09,197.35,1146861.0
2018-03-02,196.18,197.61,192.83,195.0,950665.0,0.0,1.0,196.18,197.61,192.83,195.0,950665.0
2018-03-01,194.24,198.49,193.08,196.11,1196702.0,0.0,1.0,194.24,198.49,193.08,196.11,1196702.0
2018-02-28,193.82,196.68,193.12,194.44,1140711.0,0.0,1.0,193.82,196.68,193.12,194.44,1140711.0
