Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,112.15,114.31,110.65,112.54,1160188.0,0.0,1.0,112.15,114.31,110.65,112.54,1160188.0
2018-03-26,112.26,112.73,108.12,111.65,1484504.0,0.0,1.0,112.26,112.73,108.12,111.65,1484504.0
2018-03-23,115.04,115.419,109.92,110.29,1126082.0,0.0,1.0,115.04,115.419,109.92,110.29,1126082.0
2018-03-22,118.55,119.01,115.02,115.08,934143.0,0.0,1.0,118.55,119.01,115.02,115.08,934143.0
2018-03-21,123.51,123.95,116.96,119.66,1631656.0,0.0,1.0,123.51,123.95,116.96,119.66,1631656.0
2018-03-20,123.7,124.7,122.51,123.07,488146.0,0.0,1.0,123.7,124.7,122.51,123.07,488146.0
2018-03-19,125.57,126.45,121.7299,123.14,567612.0,0.0,1.0,125.57,126.45,121.7299,123.14,567612.0
2018-03-16,122.93,126.365,122.09,125.89,1040294.0,0.0,1.0,122.93,126.365,122.09,125.89,1040294.0
2018-03-15,123.21,123.9978,120.0,120.74,991948.0,0.0,1.0,123.21,123.9978,120.0,120.74,991948.0
2018-03-14,124.42,124.64,121.94,122.85,646991.0,0.0,1.0,124.42,124.64,121.94,122.85,646991.0
2018-03-13,127.03,127.5603,123.2,123.9,658373.0,0.0,1.0,127.03,127.5603,123.2,123.9,658373.0
2018-03-12,126.95,129.39,126.0,126.89,1032345.0,0.0,1.0,126.95,129.39,126.0,126.89,1032345.0
2018-03-09,121.65,127.22,120.48,126.95,1614364.0,0.0,1.0,121.65,127.22,120.48,126.95,1614364.0
2018-03-08,126.55,127.5,116.03,120.39,3844488.0,0.0,1.0,126.55,127.5,116.03,120.39,3844488.0
2018-03-07,120.16,122.92,119.1101,122.41,1564713.0,0.0,1.0,120.16,122.92,119.1101,122.41,1564713.0
2018-03-06,119.99,122.61,119.03,121.61,1370833.0,0.0,1.0,119.99,122.61,119.03,121.61,1370833.0
2018-03-05,119.18,120.0,116.5,118.74,1275319.0,0.0,1.0,119.18,120.0,116.5,118.74,1275319.0
2018-03-02,121.83,122.0,115.51,120.45,1314793.0,0.0,1.0,121.83,122.0,115.51,120.45,1314793.0
2018-03-01,128.78,128.91,122.54,123.52,1371081.0,0.0,1.0,128.78,128.91,122.54,123.52,1371081.0
2018-02-28,127.85,131.56,125.96,129.0,1100107.0,0.0,1.0,127.85,131.56,125.96,129.0,1100107.0
2018-02-27,133.1,134.0198,125.94,127.44,1243031.0,0.0,1.0,133.1,134.0198,125.94,127.44,1243031.0
2018-02-26,125.26,136.4,122.56,133.51,2386506.0,0.0,1.0,125.26,136.4,122.56,133.51,2386506.0
2018-02-23,123.88,125.87,122.73,125.0,886052.0,0.0,1.0,123.88,125.87,122.73,125.0,886052.0
2018-02-22,124.92,125.5,122.3,123.41,567821.0,0.0,1.0,124.92,125.5,122.3,123.41,567821.0
2018-02-21,126.14,127.0,123.95,124.0,405510.0,0.0,1.0,126.14,127.0,123.95,124.0,405510.0
2018-02-20,124.63,127.72,124.23,125.9,794050.0,0.0,1.0,124.63,127.72,124.23,125.9,794050.0
2018-02-16,130.45,130.82,123.5,124.83,1028598.0,0.0,1.0,130.45,130.82,123.5,124.83,1028598.0
2018-02-15,131.69,133.44,128.1,130.42,442806.0,0.0,1.0,131.69,133.44,128.1,130.42,442806.0
2018-02-14,127.8,131.365,127.39,130.97,649040.0,0.0,1.0,127.8,131.365,127.39,130.97,649040.0
2018-02-13,128.53,130.0,124.4975,128.89,711257.0,0.0,1.0,128.53,130.0,124.4975,128.89,711257.0
2018-02-12,128.5,130.43,125.06,129.22,706978.0,0.0,1.0,128.5,130.43,125.06,129.22,706978.0
2018-02-09,125.77,129.0,122.476,127.57,893378.0,0.0,1.0,125.77,129.0,122.476,127.57,893378.0
2018-02-08,130.99,130.99,124.5713,124.6,746142.0,0.0,1.0,130.99,130.99,124.5713,124.6,746142.0
2018-02-07,131.23,133.33,129.02,130.25,657632.0,0.0,1.0,131.23,133.33,129.02,130.25,657632.0
2018-02-06,124.03,132.94,123.47,131.66,1096826.0,0.0,1.0,124.03,132.94,123.47,131.66,1096826.0
