Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,96.33,97.29,95.13,95.71,1533135.0,0.0,1.0,96.33,97.29,95.13,95.71,1533135.0
2018-03-26,94.73,96.11,93.99,96.0,1605711.0,0.0,1.0,94.73,96.11,93.99,96.0,1605711.0
2018-03-23,95.12,96.17,93.08,93.39,1708307.0,0.0,1.0,95.12,96.17,93.08,93.39,1708307.0
2018-03-22,95.23,96.22,94.5,94.7,1393421.0,0.0,1.0,95.23,96.22,94.5,94.7,1393421.0
2018-03-21,95.34,96.98,95.2,96.15,1617400.0,0.0,1.0,95.34,96.98,95.2,96.15,1617400.0
2018-03-20,94.68,95.9,94.58,95.1,2001869.0,0.0,1.0,94.68,95.9,94.58,95.1,2001869.0
2018-03-19,95.14,95.45,93.89,94.4,1719010.0,0.0,1.0,95.14,95.45,93.89,94.4,1719010.0
2018-03-16,94.61,96.02,94.58,95.79,2960860.0,0.0,1.0,94.61,96.02,94.58,95.79,2960860.0
2018-03-15,94.64,95.18,93.25,94.46,2688210.0,0.0,1.0,94.64,95.18,93.25,94.46,2688210.0
2018-03-14,94.84,95.31,94.01,94.21,1603654.0,0.0,1.0,94.84,95.31,94.01,94.21,1603654.0
2018-03-13,95.11,96.12,94.1101,94.55,1689413.0,0.0,1.0,95.11,96.12,94.1101,94.55,1689413.0
2018-03-12,95.71,96.2499,94.89,94.99,1242401.0,0.0,1.0,95.71,96.2499,94.89,94.99,1242401.0
2018-03-09,96.0,96.29,95.43,95.91,1621093.0,0.0,1.0,96.0,96.29,95.43,95.91,1621093.0
2018-03-08,94.23,95.23,93.55,95.19,1643475.0,0.0,1.0,94.23,95.23,93.55,95.19,1643475.0
2018-03-07,93.03,95.04,93.02,94.22,1791368.0,0.0,1.0,93.03,95.04,93.02,94.22,1791368.0
2018-03-06,93.55,94.31,92.75,93.93,2013862.0,0.0,1.0,93.55,94.31,92.75,93.93,2013862.0
2018-03-05,91.02,93.22,90.67,93.06,2953329.0,0.0,1.0,91.02,93.22,90.67,93.06,2953329.0
2018-03-02,90.07,91.64,89.79,91.37,1903789.0,0.0,1.0,90.07,91.64,89.79,91.37,1903789.0
2018-03-01,90.54,91.92,89.5,90.87,3431866.0,0.0,1.0,90.54,91.92,89.5,90.87,3431866.0
2018-02-28,92.95,93.04,90.34,90.37,3206371.0,0.0,1.0,92.95,93.04,90.34,90.37,3206371.0
2018-02-27,92.77,93.75,92.1,92.12,3140925.0,0.0,1.0,92.77,93.75,92.1,92.12,3140925.0
2018-02-26,92.62,93.23,91.96,92.52,3326457.0,0.0,1.0,92.62,93.23,91.96,92.52,3326457.0
2018-02-23,90.59,91.86,90.11,91.83,2871907.0,0.0,1.0,90.59,91.86,90.11,91.83,2871907.0
2018-02-22,90.1,91.2,89.59,90.13,2691048.0,0.0,1.0,90.1,91.2,89.59,90.13,2691048.0
2018-02-21,91.06,91.53,89.56,89.58,2218411.0,0.0,1.0,91.06,91.53,89.56,89.58,2218411.0
2018-02-20,91.95,92.575,90.26,90.99,2946389.0,0.0,1.0,91.95,92.575,90.26,90.99,2946389.0
2018-02-16,91.78,92.915,90.95,91.99,2220471.0,0.0,1.0,91.78,92.915,90.95,91.99,2220471.0
2018-02-15,93.98,94.4,91.62,92.77,2636711.0,0.0,1.0,93.98,94.4,91.62,92.77,2636711.0
2018-02-14,93.39,93.81,91.32,93.33,4089555.0,0.0,1.0,93.39,93.81,91.32,93.33,4089555.0
2018-02-13,93.24,94.29,92.96,93.76,1437545.0,0.0,1.0,93.24,94.29,92.96,93.76,1437545.0
2018-02-12,93.46,94.77,92.61,93.59,1798904.0,0.0,1.0,93.46,94.77,92.61,93.59,1798904.0
2018-02-09,93.12,94.13,89.14,92.6,2636463.0,0.0,1.0,93.12,94.13,89.14,92.6,2636463.0
2018-02-08,95.49,95.516,92.41,92.44,2604100.0,0.0,1.0,95.49,95.516,92.41,92.44,2604100.0
2018-02-07,96.82,98.09,95.59,95.61,2190721.0,0.0,1.0,96.82,98.09,95.59,95.61,2190721.0
2018-02-06,92.88,97.0,92.7,96.88,2883179.0,0.0,1.0,92.88,97.0,92.7,96.88,2883179.0
2018-02-05,95.82,99.57,93.55,95.21,4227172.0,0.0,1.0,95.82,99.57,93.55,95.21,4227172.0
2018-02-02,101.1,101.1,96.08,97.01,4485585.0,0.0,1.0,101.1,101.1,96.08,97.01,4485585.0
2018-02-01,102.33,102.99,99.67,100.86,3213276.0,0.0,1.0,102.33,102.99,99.67,100.86,3213276.0
2018-01-31,102.6,102.95,101.64,102.4,3334056.0,0.0,1.0,102.6,102.95,101.64,102.4,3334056.0
2018-01-30,103.05,103.69,101.89,102.28,2030408.0,0.0,1.0,103.05,103.69,101.89,102.28,2030408.0
2018-01-29,106.12,106.44,103.95,104.25,2520169.0,0.0,1.0,106.12,106.44,103.95,104.25,2520169.0
2018-01-26,104.62,106.92,104.52,106.59,2604640.0,0.0,1.0,104.62,106.92,104.52,106.59,2604640.0
2018-01-25,105.01,105.3315,103.97,104.17,1863985.0,0.0,1.0,105.01,105.3315,103.97,104.17,1863985.0
2018-01-24,107.22,107.47,103.8,104.63,1916165.0,0.0,1.0,107.22,107.47,103.8,104.63,1916165.0
2018-01-23,106.9,107.34,106.56,106.9,1419581.0,0.0,1.0,106.9,107.34,106.56,106.9,1419581.0
2018-01-22,105.59,106.82,105.39,106.66,1322958.0,0.0,1.0,105.59,106.82,105.39,106.66,1322958.0
2018-01-19,105.53,105.65,104.82,105.63,1630495.0,0.0,1.0,105.53,105.65,104.82,105.63,1630495.0
2018-01-18,106.43,106.43,104.55,105.29,1446434.0,0.0,1.0,106.43,106.43,104.55,105.29,1446434.0
2018-01-17,103.95,106.91,103.83,106.16,2316155.0,0.0,1.0,103.95,106.91,103.83,106.16,2316155.0
2018-01-16,104.54,104.89,103.17,103.5,2547974.0,0.0,1.0,104.54,104.89,103.17,103.5,2547974.0
2018-01-12,102.54,105.09,102.5,104.97,1848377.0,0.0,1.0,102.54,105.09,102.5,104.97,1848377.0
2018-01-11,102.62,102.62,101.51,102.37,1348999.0,0.0,1.0,102.62,102.62,101.51,102.37,1348999.0
2018-01-10,101.92,102.41,101.3,102.08,977452.0,0.0,1.0,101.92,102.41,101.3,102.08,977452.0
2018-01-09,101.9,102.25,101.37,101.72,1494483.0,0.0,1.0,101.9,102.25,101.37,101.72,1494483.0
2018-01-08,102.5,102.5,101.46,102.06,1233895.0,0.0,1.0,102.5,102.5,101.46,102.06,1233895.0
2018-01-05,102.2,102.35,101.64,102.16,1750086.0,0.0,1.0,102.2,102.35,101.64,102.16,1750086.0
2018-01-04,102.4,102.72,101.82,102.15,1104446.0,0.0,1.0,102.4,102.72,101.82,102.15,1104446.0
2018-01-03,101.45,102.8,101.41,102.43,1350618.0,0.0,1.0,101.45,102.8,101.41,102.43,1350618.0
