Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,541.8,545.29,527.55,532.11,503595.0,0.0,1.0,541.8,545.29,527.55,532.11,503595.0
2018-03-26,529.9,541.57,525.57,540.72,669526.0,0.0,1.0,529.9,541.57,525.57,540.72,669526.0
2018-03-23,542.19,542.19,518.5509999999999,521.13,644445.0,0.0,1.0,542.19,542.19,518.5509999999999,521.13,644445.0
2018-03-22,556.14,558.17,538.38,539.42,693221.0,0.0,1.0,556.14,558.17,538.38,539.42,693221.0
2018-03-21,558.6,573.4664,557.055,564.16,479327.0,0.0,1.0,558.6,573.4664,557.055,564.16,479327.0
2018-03-20,557.54,557.84,552.0,557.52,378205.0,0.0,1.0,557.54,557.84,552.0,557.52,378205.0
2018-03-19,563.85,563.9763,548.09,553.83,550830.0,0.0,1.0,563.85,563.9763,548.09,553.83,550830.0
2018-03-16,558.79,565.88,558.04,563.66,608248.0,0.0,1.0,558.79,565.88,558.04,563.66,608248.0
2018-03-15,560.25,563.63,555.85,557.93,312438.0,0.0,1.0,560.25,563.63,555.85,557.93,312438.0
2018-03-14,566.66,566.66,557.56,558.96,339055.0,0.0,1.0,566.66,566.66,557.56,558.96,339055.0
2018-03-13,577.26,578.5599,562.18,564.06,473567.0,0.0,1.0,577.26,578.5599,562.18,564.06,473567.0
2018-03-12,578.34,578.8,569.01,571.79,410717.0,0.0,1.0,578.34,578.8,569.01,571.79,410717.0
2018-03-09,558.33,578.65,558.33,577.18,814666.0,0.0,1.0,558.33,578.65,558.33,577.18,814666.0
2018-03-08,548.87,554.37,547.02,553.39,583610.0,0.0,1.0,548.87,554.37,547.02,553.39,583610.0
2018-03-07,540.42,548.515,538.33,547.43,465886.0,0.0,1.0,540.42,548.515,538.33,547.43,465886.0
2018-03-06,543.16,549.0,540.14,548.66,387462.0,2.88,1.0,543.16,549.0,540.14,548.66,387462.0
2018-03-05,532.65,546.16,531.4162,545.26,384595.0,0.0,1.0,529.868638721,543.308092976,528.641281307,542.412792545,384595.0
2018-03-02,530.22,539.7998,527.09,537.58,636469.0,0.0,1.0,527.451327556,536.981104304,524.33767161,534.772895529,636469.0
2018-03-01,548.6,549.02,527.03,535.58,779735.0,0.0,1.0,545.735351924,546.153158792,524.277984915,532.783339014,779735.0
2018-02-28,554.74,566.4014,548.83,549.43,710846.0,0.0,1.0,554.74,566.4014,548.83,549.43,710846.0
2018-02-27,561.95,565.49,552.76,552.77,519167.0,0.0,1.0,561.95,565.49,552.76,552.77,519167.0
2018-02-26,553.15,564.22,550.69,563.97,576566.0,0.0,1.0,553.15,564.22,550.69,563.97,576566.0
2018-02-23,543.76,549.91,542.05,549.75,349521.0,0.0,1.0,543.76,549.91,542.05,549.75,349521.0
2018-02-22,547.96,552.17,537.49,539.53,625151.0,0.0,1.0,547.96,552.17,537.49,539.53,625151.0
2018-02-21,542.6,556.06,542.42,543.56,482615.0,0.0,1.0,542.6,556.06,542.42,543.56,482615.0
2018-02-20,541.0,546.43,537.25,542.6,526592.0,0.0,1.0,541.0,546.43,537.25,542.6,526592.0
